glyph_id,char,work_id,work_title,canvas_index,canvas_label,bbox_x,bbox_y,bbox_w,bbox_h,bbox_xywh,cell_x,cell_y,cell_w,cell_h,cell_xywh,padded_x,padded_y,padded_w,padded_h,padded_xywh,refined_x,refined_y,refined_w,refined_h,refined_xywh,display_x,display_y,display_w,display_h,display_xywh,bbox_method,local_image,auto_col,auto_row,work_index,uri,viewer_url,manifest_url,canvas_id,canvas_width,canvas_height,annotation_page_url,annotation_id,annotation_index,order_in_page,motivation,bbox_xyxy,target,creator,contribution,temporal,temporal_value,year,script_form,shelf_mark,brief_source,source,quality
001_道因法师碑_p0005_c001,故,001_道因法师碑,道因法师碑,5,五,808,683,283,283,"[808, 683, 283, 283]",817,713,265,223,"[817, 713, 265, 223]",757,632,385,385,"[757, 632, 385, 385]",785,664,329,321,"[785, 664, 329, 321]",785,664,329,321,"[785, 664, 329, 321]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0005.jpg,0,0,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/73071e6b-c3ff-4509-b698-887f8d503004,1,1,supplementing,"[808, 683, 1091, 966]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=808,683,283,283",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c002,大,001_道因法师碑,道因法师碑,5,五,808,926,283,283,"[808, 926, 283, 283]",817,957,265,255,"[817, 957, 265, 255]",757,875,385,385,"[757, 875, 385, 385]",785,901,329,367,"[785, 901, 329, 367]",785,901,329,367,"[785, 901, 329, 367]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0005.jpg,0,1,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/be9bc485-08a1-46ae-8da3-c9dca0a70f7f,2,2,supplementing,"[808, 926, 1091, 1209]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=808,926,283,283",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c003,德,001_道因法师碑,道因法师碑,5,五,808,1238,283,283,"[808, 1238, 283, 283]",817,1236,265,281,"[817, 1236, 265, 281]",757,1187,385,385,"[757, 1187, 385, 385]",785,1178,329,401,"[785, 1178, 329, 401]",785,1178,329,401,"[785, 1178, 329, 401]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0005.jpg,0,2,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/df2c94de-7afa-4269-8f4e-12eb7fb074f6,3,3,supplementing,"[808, 1238, 1091, 1521]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=808,1238,283,283",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c004,因,001_道因法师碑,道因法师碑,5,五,808,1537,283,283,"[808, 1537, 283, 283]",817,1541,265,275,"[817, 1541, 265, 275]",757,1486,385,385,"[757, 1486, 385, 385]",785,1480,329,396,"[785, 1480, 329, 396]",785,1480,329,396,"[785, 1480, 329, 396]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0005.jpg,0,3,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/d43ed0c1-6772-42cb-bf7d-85cc6ddc39b7,4,4,supplementing,"[808, 1537, 1091, 1820]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=808,1537,283,283",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c005,法,001_道因法师碑,道因法师碑,5,五,549,697,225,225,"[549, 697, 225, 225]",529,709,265,201,"[529, 709, 265, 201]",508,656,306,306,"[508, 656, 306, 306]",497,665,329,289,"[497, 665, 329, 289]",497,665,329,289,"[497, 665, 329, 289]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0005.jpg,1,0,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/83a8c286-9dac-45b3-9322-7fdd78ebfedb,5,5,supplementing,"[549, 697, 774, 922]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=549,697,225,225",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c006,师,001_道因法师碑,道因法师碑,5,五,549,916,225,225,"[549, 916, 225, 225]",529,929,265,224,"[529, 929, 265, 224]",508,876,306,306,"[508, 876, 306, 306]",497,880,329,322,"[497, 880, 329, 322]",497,880,329,322,"[497, 880, 329, 322]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0005.jpg,1,1,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/58ed1b59-a0c5-4dae-b2d5-6a2a82b93594,6,6,supplementing,"[549, 916, 774, 1141]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=549,916,225,225",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c007,碑,001_道因法师碑,道因法师碑,5,五,549,1185,225,225,"[549, 1185, 225, 225]",529,1174,265,247,"[529, 1174, 265, 247]",508,1144,306,306,"[508, 1144, 306, 306]",497,1128,329,347,"[497, 1128, 329, 347]",497,1128,329,347,"[497, 1128, 329, 347]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0005.jpg,1,2,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/fdb076f6-0acf-441e-abf1-0a502b7fa844,7,7,supplementing,"[549, 1185, 774, 1410]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=549,1185,225,225",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0006_c001,大,001_道因法师碑,道因法师碑,6,六,836,534,148,148,"[836, 534, 148, 148]",831,550,158,116,"[831, 550, 158, 116]",809,507,202,202,"[809, 507, 202, 202]",812,524,196,168,"[812, 524, 196, 168]",812,524,196,168,"[812, 524, 196, 168]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0006.jpg,0,0,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b,1436,2231,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/s,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/c/a/11d30791-1305-4af0-a224-fcbb42237e73,1,1,supplementing,"[836, 534, 984, 682]","https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b#xywh=836,534,148,148",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0006_c002,唐,001_道因法师碑,道因法师碑,6,六,836,659,148,148,"[836, 659, 148, 148]",831,677,158,158,"[831, 677, 158, 158]",809,632,202,202,"[809, 632, 202, 202]",812,642,196,228,"[812, 642, 196, 228]",812,642,196,228,"[812, 642, 196, 228]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0006.jpg,0,1,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b,1436,2231,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/s,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/c/a/a9242e1c-5c51-464e-8348-17079a0f3223,2,2,supplementing,"[836, 659, 984, 807]","https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b#xywh=836,659,148,148",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0006_c003,故,001_道因法师碑,道因法师碑,6,六,836,876,148,148,"[836, 876, 148, 148]",831,849,158,182,"[831, 849, 158, 182]",809,849,202,202,"[809, 849, 202, 202]",812,819,196,252,"[812, 819, 196, 252]",812,819,196,252,"[812, 819, 196, 252]",offline_local_binary_ring_bottom_guard,assets/page_images/001_道因法师碑/p0006.jpg,0,2,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b,1436,2231,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/s,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/c/a/8ecfa53e-9db3-49a1-9646-92d141ed5ad1,3,3,supplementing,"[836, 876, 984, 1024]","https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b#xywh=836,876,148,148",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
