glyph_id,char,work_id,work_title,canvas_index,canvas_label,auto_col,auto_row,bbox_x,bbox_y,bbox_w,bbox_h,cell_x,cell_y,cell_w,cell_h,cell_xywh,display_x,display_y,display_w,display_h,display_xywh,fg_pixel_count,bbox_method,local_image,work_index,uri,viewer_url,manifest_url,canvas_id,canvas_width,canvas_height,annotation_page_url,annotation_id,annotation_index,order_in_page,motivation,bbox_xywh,bbox_xyxy,target,creator,contribution,temporal,temporal_value,year,script_form,shelf_mark,brief_source,source,quality
001_道因法师碑_p0005_c001,故,001_道因法师碑,道因法师碑,5,五,0,0,808,683,283,283,816,712,267,225,"[816, 712, 267, 225]",795,690,309,270,"[795, 690, 309, 270]",28601,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0005.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/73071e6b-c3ff-4509-b698-887f8d503004,1,1,supplementing,"[808, 683, 283, 283]","[808, 683, 1091, 966]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=808,683,283,283",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c002,大,001_道因法师碑,道因法师碑,5,五,0,1,808,926,283,283,816,956,267,258,"[816, 956, 267, 258]",795,930,309,310,"[795, 930, 309, 310]",30043,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0005.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/be9bc485-08a1-46ae-8da3-c9dca0a70f7f,2,2,supplementing,"[808, 926, 283, 283]","[808, 926, 1091, 1209]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=808,926,283,283",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c003,德,001_道因法师碑,道因法师碑,5,五,0,2,808,1238,283,283,816,1234,267,284,"[816, 1234, 267, 284]",795,1206,309,340,"[795, 1206, 309, 340]",32247,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0005.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/df2c94de-7afa-4269-8f4e-12eb7fb074f6,3,3,supplementing,"[808, 1238, 283, 283]","[808, 1238, 1091, 1521]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=808,1238,283,283",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c004,因,001_道因法师碑,道因法师碑,5,五,0,3,808,1537,283,283,816,1539,267,279,"[816, 1539, 267, 279]",795,1511,309,335,"[795, 1511, 309, 335]",45775,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0005.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/d43ed0c1-6772-42cb-bf7d-85cc6ddc39b7,4,4,supplementing,"[808, 1537, 283, 283]","[808, 1537, 1091, 1820]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=808,1537,283,283",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c005,法,001_道因法师碑,道因法师碑,5,五,1,0,549,697,225,225,528,708,267,203,"[528, 708, 267, 203]",507,688,309,243,"[507, 688, 309, 243]",21072,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0005.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/83a8c286-9dac-45b3-9322-7fdd78ebfedb,5,5,supplementing,"[549, 697, 225, 225]","[549, 697, 774, 922]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=549,697,225,225",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c006,师,001_道因法师碑,道因法师碑,5,五,1,1,549,916,225,225,528,928,267,226,"[528, 928, 267, 226]",507,905,309,272,"[507, 905, 309, 272]",20245,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0005.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/58ed1b59-a0c5-4dae-b2d5-6a2a82b93594,6,6,supplementing,"[549, 916, 225, 225]","[549, 916, 774, 1141]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=549,916,225,225",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0005_c007,碑,001_道因法师碑,道因法师碑,5,五,1,2,549,1185,225,225,528,1172,267,251,"[528, 1172, 267, 251]",507,1147,309,301,"[507, 1147, 309, 301]",25183,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0005.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b,1450,2228,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/s,https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b/ap/c/a/fdb076f6-0acf-441e-abf1-0a502b7fa844,7,7,supplementing,"[549, 1185, 225, 225]","[549, 1185, 774, 1410]","https://iiif.library.sh.cn/c/3/8b03244a-3815-42c9-b4c1-61271a61f55b#xywh=549,1185,225,225",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0006_c001,大,001_道因法师碑,道因法师碑,6,六,0,0,836,534,148,148,830,550,160,116,"[830, 550, 160, 116]",817,538,186,140,"[817, 538, 186, 140]",12070,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0006.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b,1436,2231,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/s,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/c/a/11d30791-1305-4af0-a224-fcbb42237e73,1,1,supplementing,"[836, 534, 148, 148]","[836, 534, 984, 682]","https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b#xywh=836,534,148,148",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0006_c002,唐,001_道因法师碑,道因法师碑,6,六,0,1,836,659,148,148,830,676,160,160,"[830, 676, 160, 160]",817,660,186,192,"[817, 660, 186, 192]",12977,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0006.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b,1436,2231,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/s,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/c/a/a9242e1c-5c51-464e-8348-17079a0f3223,2,2,supplementing,"[836, 659, 148, 148]","[836, 659, 984, 807]","https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b#xywh=836,659,148,148",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
001_道因法师碑_p0006_c003,故,001_道因法师碑,道因法师碑,6,六,0,2,836,876,148,148,830,848,160,184,"[830, 848, 160, 184]",817,830,186,220,"[817, 830, 186, 220]",13383,text_constrained_column_cell_pixel_assignment,assets/page_images/001_道因法师碑/p0006.jpg,1,http://data.library.sh.cn/bt/resource/work/v1e0qbx3r5wp1uw4,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b,1436,2231,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/s,https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b/ap/c/a/8ecfa53e-9db3-49a1-9646-92d141ed5ad1,3,3,supplementing,"[836, 876, 148, 148]","[836, 876, 984, 1024]","https://iiif.library.sh.cn/c/3/3c38db5e-7ee1-4618-8370-e0321ae2f75b#xywh=836,876,148,148",李俨撰文，欧阳通楷书,欧阳通（楷书）；李儇（撰文）,唐,龙朔三年十月十日刻立（663）,663,楷书,17A331,《翰墨瑰宝：上海图书馆藏珍本碑帖丛刊》第二辑,iiif_annotation_target_xywh,iiif_xywh
