work_index,work_id,title,viewer_url,manifest_url,canvas_count,glyph_count,status
1,001_道因法师碑,道因法师碑,http://iiif.library.sh.cn/api/viewer/17A331,https://iiif.library.sh.cn/p/3/02c55611-7427-4cd0-a2cd-a15b5ccbaa9c,72,2342,PASS
2,002_礼器碑并阴,礼器碑并阴,http://iiif.library.sh.cn/api/viewer/48B814,https://iiif.library.sh.cn/p/3/85558958-1ac5-411b-8854-55216a68869b,74,1078,PASS
3,003_龙藏寺碑,龙藏寺碑,http://iiif.library.sh.cn/api/viewer/S2473,https://iiif.library.sh.cn/p/3/ad0f58f2-7b47-455f-b1a7-f8c813c58e88,83,1426,PASS
4,004_麓山寺碑并阴,麓山寺碑并阴,http://iiif.library.sh.cn/api/viewer/17A333,https://iiif.library.sh.cn/p/3/490b66a0-2b89-4f7a-82eb-e0551e8ac723,113,1830,PASS
5,005_虞恭公温彦博碑,虞恭公温彦博碑,http://iiif.library.sh.cn/api/viewer/19A376,https://iiif.library.sh.cn/p/3/47caad3e-7987-40f0-b1b9-2654eaef2bde,55,855,PASS
6,006_史晨后碑,史晨后碑,http://iiif.library.sh.cn/api/viewer/22BT012,https://iiif.library.sh.cn/p/3/26aeaedb-6c05-11ee-939e-9cb6d0bbaaae,54,527,PASS
7,007_伊阙佛龛碑,伊阙佛龛碑,http://iiif.library.sh.cn/api/viewer/22BT006,https://iiif.library.sh.cn/p/3/26aeaed6-6c05-11ee-bab6-9cb6d0bbaaae,124,1683,PASS
8,008_天发神谶碑,天发神谶碑,http://iiif.library.sh.cn/api/viewer/22BT005,https://iiif.library.sh.cn/p/3/26aeaed5-6c05-11ee-b4a2-9cb6d0bbaaae,82,391,PASS
9,009_唐俭碑,唐俭碑,http://iiif.library.sh.cn/api/viewer/L73611,https://iiif.library.sh.cn/p/3/50050fed-5e4f-486d-9fd6-526b2e32c45c,49,1233,PASS
10,010_赵清献公碑,赵清献公碑,http://iiif.library.sh.cn/api/viewer/22BT007,https://iiif.library.sh.cn/p/3/26aeaed7-6c05-11ee-92ca-9cb6d0bbaaae,82,2485,PASS
